ID,Cemetery,Year,TS,PPA,tag,Quadrant,Excavation Trench,Sq,Layer,L1 details,Feature,Offering Place,Tomb,Artifact Class,Artifact type,Proportion,"Long section (Cylindrical, biconical, barrel)","Trans section (Round, flat, rectangular)",Material gen,Material spec,Color,Color Munsell,Status (Entire/broken),Stage,"Surface traces (Chipped, Ground, Polished, Worn)",Length MAX,Length MIN,(Length A-B) - From end to centre for bicones and barrels,(Length B-C) - From end to centre for bicones and barrels,Thickness (cm),Dia MAX (cm),Length (cm),Dia MIN (cm),Width (cm),Hole Dia 1 (cm),Hole Dia 2 (cm),Perforation tech (Drilling / Pecking/ind),Drill act (Im) (Drilling actions (Impression) Single /multiple/stepped (No. steps)),Drill direct (Im) (One side / Two sides),"Drill section (Im) - Cylindrical, tapered, conical","Drill surface (Im) - Parallel striae, irregular striae, smoothed, etc.","Drill tech  (Im) - Stone drill, Ernestite drill, Solid copper, Tubular copper","Bead end 1 - Chipped, Ground, Polished","Bead end 2 - Chipped, Ground, Polished",Photo,Notes
TAG7488-AKAP-PG-SF_0001,WT1,2013,31,,7488,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on the inner side, darker outside",Inner side: N9 (white); On the outside: 10YR7/3,"Well preserved, missing one small piece",Finished,Polished (or grounded),,,,,0.163,0.561,,0.548,,3.35mm (on the outside),2.68mm (on the inside),Drilling or Pecking?,Multiple,"On both sides, but the largest hole is made from the outside","Conical, almost cylindrical",Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7512-AKAP-PG-SF_0002,WT1,2013,55,,7512,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on the inner side, darker outside",Inner side: 10YR8/2; On the outside: 10YR7/3,Well preserved,Finished,Polished (or grounded),,,,,0.16,0.492,,0.48,,2.33mm (on the outside),2.06mm (on the inside),Drilling or Pecking?,Multiple,"On both sides, but the largest hole is made from the outside",Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7522-AKAP-PG-SF_0003,WT1,2013,65,,7522,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,White on both sides; one side is slightly darker but the difference is minimal,Inner side: N9 (white); On the outside: 10YR8/2,"Preserved, partly damaged",Finished,Polished (or grounded),,,,,0.16,0.615,,0.593,,3.23mm (on the lighter side),2.39mm (on the darker side),Drilling or Pecking?,Multiple,Drilled on one side; the deepest drill is from the lighter side of the bead,Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7523-AKAP-PG-SF_0004,WT1,2013,66,,7523,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on both sides, slightly darker on one",Inner side: N9 (white); On the outside: 10YR8/3,Well preserved,Finished,Polished (or grounded),,,,,0.154,0.479,,0.477,,2.95mm (on the inner side),2.16mm (on the outside),Drilling and pecking,Multiple,Drilled on one side (inner) and pecked on the outside? The hole from the inside is deeper than the other,Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7566-AKAP-PG-SF_0005,WT1,2013,109,,7566,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on both sides, slightly darker on one; some darker traces on the inside",Inner side: N9 (white); On the outside: 10YR8/3,Well preserved,Finished,Polished (or grounded),,,,,0.136,0.475,,0.469,,1.91mm (on the inside),1.29mm (on the outside),Drilling or Pecking?,Multiple,"Drilled on both side, but the hole on the inner side is deeper",Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7567-AKAP-PG-SF_0006,WT1,2013,110,,7567,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on both sides, slightly darker on one ",On both sides: 10YR8/2,Well preserved,Finished,Polished (or grounded),,,,,0.187,0.551,,0.543,,2.37mm,2.33mm,Drilling or Pecking?,Multiple,"Drilled on both side, almost symmetrical",Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7600-AKAP-PG-SF_0007,WT1,2013,143,,7600,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on both sides, slightly darker on one, but difference is minimal",On both sides: 10YR8/2,Well preserved,Finished,Polished (or grounded),,,,,0.189,0.507,,0.498,,2.64mm,2.27mm,Drilling or Pecking?,Multiple,"Drilled on both side, almost symmetrical",Conical,"Smoothed; STRIAE also on the thickness, but not regularly distributed",,,,"3, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7503-AKAP-PG-SF_0090,WT1,2013,46,,7503,,,,L1,SC,,,,,Scarab,Long,Barrel,Rounded and flat,Fayence,Fayence,White,5BG 6/6 and 5B 5/6,Preserved,Finished,,,,,,0.4,,0.777,,0.602,1.40mm (front),1.40mm (back),,,,Cylindrical,An inscription on the back,,,,"4, EDR, Dyno",Analysed 9/11/2024
TAG6228-AKAP-PG-SF_0186,WT1,2022,,,6228,Q3B,, ,L62,,,,TB8,,Spacer,,,,Mother of Pearl,Mother of Pearl,White,,Preserved,Finished,,,,,,0.125,,1.122,,2.311,2.02mm,2.07mm,,,,,,,,,,
TAG6228-AKAP-PG-SF_5926,WT1,2022,,,6228,Q3B,, ,L62,,,,TB8,,Spacer,,,,Mother of Pearl,Mother of Pearl,White,,Fragment,,,,,,,,,,,,,,,,,,,,,,,
TAG6558-AKAP-PG-SF_0209,WT1,2022,,,6558,Q4A,,,L1,Between TB7 and FT26,,,,,Bead,,,,,Ostrich eggshell,Yellowish,,Preserved,Unfinished,,,,,,0.216,,,,,0.57599999999999996,,,,,,,,,,,Measurements to be checked
TAG6039- AKAP-PG-SF_0257,WT1,2022,,,6039,Q1B-2B,,,L8,,FT3,,TB3,,Bead,,,,Shell,Nerita shell,Greyish,,Preserved,1 perforated shell,,,,,,,2.023,,1.821,,0.218,0.41899999999999998,,,,,,,,,,
TAG6399-AKAP-PG-SF_0258,WT1,2022,,,6399,Q4A,,,L1,Area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,,Bead,,,,Shell,,White,,Preserved,,,,,,,,0.672,1.042,0.271,,0.154,,,,,,,,,,,
TAG6399-AKAP-PG-SF_0259,WT1,2022,,,6399,Q4A,,,L1,Area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,,Bead,,,,Shell,,White,,Preserved,,,,,,,,0.565,0.116,0.126,,0.20699999999999999,,,,,,,,,,,
TAG6413-AKAP-PG-SF_0260,WT1,2022,,,6413,Q4A,,,L1,Residual part of Q4A (see Q4A excavated on 22th oct): a strip in the northen sector of Q4A from T17 to T7 and the limit of Q4A/Q4B (?),,,,,Bead,,,,Shell,,White,,Fragment,,,,,,,,,1.023,,0.055,,,,,,,,,,,,
TAG6540-AKAP-PG-SF_0283,WT1,2022,,,6540,Q4A,,,L144,,,,TB17,,Spacer?,,,,Shell,Mother of Pearl,White,,Fragment,,,,,,,0.152,,1.46,,0.685,,,,,,,,,,,,
TAG6540-AKAP-PG-SF_5927,WT1,2022,,,6540,Q4A,,,L144,,,,TB17,,Spacer?,,,,Shell,Mother of Pearl,White,,Fragment,,,,,,,,,,,,,,,,,,,,,,,
TAG6472-AKAP-PG-SF_0285,WT1,2022,,,6472,Q4B,,,L115,,"FT23, FT24, FT25",,,,Bead,,,,Shell,,White,,Perforated fragments,,,,,,,0.341,,0.978,,0.785,,,,,,,,,,,,
TAG6569-AKAP-PG-SF_0287,WT1,2022,,,6569,Q3A-3B,,,L1,N of TB6 out of the stone ring,FT32,,,,Bead,,Shell,,Shell,,White,,Preserved,,,,,,,0.091,,1.214,,1.183,0.26200000000000001,,,,,,,,,,,
TAG6451-AKAP-PG-SF_0404,WT1,2022,,,6451,Q4B,E trench,,L112,,,,,,Bead,,,,Shell,,Grey,,Preserved,1 perforated shell,,,,,,,0.565,1.026,0.135,,0.27200000000000002,,,,,,,,,,,
TAG6552-AKAP-PG-SF_0405,WT1,2022,,,6552,Q4A,,,L1,S of TB7,,,TB7,,Bead,,,Round,Shell,Nerita shell,Greyish white,,Preserved,1 perforated shell,,,,,,,0.881,,0.73,,8.1000000000000003E-2,0.113,,,,,,,,,,"Perforated twice, complete"
TAG6133-AKAP-PG-SF_0408,WT1,2022,,,6133,Q3A,,,L45,,,,TB6,,Bead,,,,Shell,,White,,Preserved,1 perforated shell,,,,,,,0.858,,0.581,,0.40600000000000003,,,,,,,,,,,
TAG6488-AKAP-PG-SF_0428,WT1,2022,,,6488,Q4B,,,L116,,,,TB11,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\4,Preserved,,,,,,,0.155,,2.123,,"1,062 and 1,215",3.71mm,3.16mm,,,,,,,,,,
TAG6488-AKAP-PG-SF_0429,WT1,2022,,,6488,Q4B,,,L116,,,,TB11,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\4,Preserved,,,,,,,0.237,,2.169,,1.2310000000000001,4.33mm,3.89mm,,,,,,,,,,
TAG6499-AKAP-PG-SF_0430,WT1,2022,,,6499,Q4B,,,L1,SE of TB11,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\4,1 fragment,,,,,,,0.101,,"1,553 and 1,220",,"1,078 and 1,009",1.99mm,,,,,,,,,,,
TAG6609-AKAP-PG-SF_0431,WT1,2022,,,6609,Q3A,,,L1,SW corner of Q3A (S of FT11-TB9 and WSW of TB6-TB7),,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\6,Preserved,,,,,,,0.163,,2.2290000000000001,,1.1140000000000001,3.52mm,2.91mm,,,,,Traces of use,,,,,
TAG6450-AKAP-PG-SF_0432,WT1,2022,,,6450,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\4,Preserved,,,,,,,0.171,,2.734,,1.115,3.15mm,2.91mm,,,,,,,,,,
TAG6450-AKAP-PG-SF_0433,WT1,2022,,,6450,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR7\6,Preserved,,,,,,,0.141,,2.1749999999999998,,0.95,3.31mm,2.79mm,,,,,Traces of use,,,,,
TAG6450-AKAP-PG-SF_0434,WT1,2022,,,6450,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR7\6,Preserved,,,,,,,0.183,,2.4609999999999999,,0.61,2.82mm,2.78mm,,,,,,,,,,
TAG6450-AKAP-PG-SF_0435,WT1,2022,,,6450,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR8\6,Preserved,,,,,,,0.18,,2.4319999999999999,,0.61399999999999999,2.21mm,2.08mm,,,,,,,,,,
TAG6450-AKAP-PG-SF_0436,WT1,2022,,,6450,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\4,Preserved,,,,,,,0.147,,1.659,,0.7,2.23mm,2.11mm,,,,,,,,,,
TAG6450-AKAP-PG-SF_0437,WT1,2022,,,6450,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\3,Preserved,,,,,,,0.128,,1.5859999999999999,,0.87899999999999989,3.14mm,2.65mm,,,,,,,,,,
TAG6450-AKAP-PG-SF_0438,WT1,2022,,,6450,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\2,Preserved,,,,,,,0.126,,1.379,,0.90399999999999991,3.61mm,3.23mm,,,,,,,,,,
TAG6450-AKAP-PG-SF_0439,WT1,2022,,,6450,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,N9,1 fragment,,,,,,,0.128,,1.444,,0.56100000000000005,2.31mm,,,,,,,,,,,
TAG6504-AKAP-PG-SF_0440,WT1,2022,,,6504,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White on one side,10YR8\6,One preserved spacer (see measurements)+some small fragments,,,,,,,0.169,,1.6149999999999998,,0.72699999999999998,2.18mm,2.10mm,,,,,,,,,,
TAG6443-AKAP-PG-SF_0441,WT1,2022,,,6443,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\6,Preserved,,,,,,,0.211,,2.137,,1.218,3.91mm,3.82mm,,,,,Traces of use,,,,,
TAG6443-AKAP-PG-SF_0442,WT1,2022,,,6443,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\2,Preserved,,,,,,,0.121,,1.879,,0.97399999999999998,3.15mm,2.73mm,,,,,,,,,,
TAG6443-AKAP-PG-SF_0443,WT1,2022,,,6443,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White on one side,10YR8\4,Preserved,,,,,,,0.212,,2.4079999999999999,,1.125,3.21mm,3.19mm,,,,,Traces of use,,,,,
TAG6443-AKAP-PG-SF_0444,WT1,2022,,,6443,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White on one side,10YR7\4,Preserved,,,,,,,0.131,,1.6469999999999998,,0.748,2.80mm,2.14mm,,,,,,,,,,
TAG6443-AKAP-PG-SF_0445,WT1,2022,,,6443,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR7\4,1 fragment,,,,,,,0.135,,1.482,,1.077,2.76mm,,,,,,,,,,,
TAG6443-AKAP-PG-SF_0446,WT1,2022,,,6443,Q4B,E trench,,L112,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,,"8 very small fragments of spacers, not MEASURED",,,,,,,,,,,,,,,,,,,,,,,
TAG6627-AKAP-PG-SF_0447,WT1,2022,,,6627,Q3A,,,L162,,FT36,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR7\4,Preserved,,,,,,,0.228,,1.9829999999999999,,1.1759999999999999,4.41mm,4.14mm,,,,,,,,,,
TAG6078-AKAP-PG-SF_0448,WT1,2022,,,6078,Q3A,,,L1,Eastern part of Q3A (from FT13 to the E limit of Q3A; L1 above TB17 and from TB17 to the E limit of Q3A),,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\6,Preserved,,,,,,,0.19,,2.2610000000000001,,1.1080000000000001,2.91mm,2.91mm,,,,,,,,,,
TAG6592-AKAP-PG-SF_0449,WT1,2022,,,6592,Q4B,SE Trench,,L1,SE trench (from TB14 to SE) ,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR6\4,Preserved,,,,,,,0.18,,2.169,,1.2170000000000001,3.33mm,2.75mm,,,,,,,,,,
TAG6592-AKAP-PG-SF_0450,WT1,2022,,,6592,Q4B,SE Trench,,L1,SE trench (from TB14 to SE) ,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\3,Preserved,,,,,,,0.134,,1.6890000000000001,,1.0409999999999999,3.51mm,3.51mm,,,,,Traces of use?,,,,,
TAG6592-AKAP-PG-SF_0451,WT1,2022,,,6592,Q4B,SE Trench,,L1,SE trench (from TB14 to SE) ,,,,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\3,Preserved,,,,,,,0.116,,1.7050000000000001,,0.86899999999999999,3.94mm,3.94mm,,,,,,,,,,
TAG6592-AKAP-PG-SF_0452,WT1,2022,,,6592,Q4B,SE Trench,,L1,SE trench (from TB14 to SE) ,,,,,Spacer,,,Rectangular,,Mother of pearl,White,,"2 fragments, only the largest one has been measured and described",,,,,,,0.1,,1.3900000000000001,,1.0699999999999998,3.89mm,,,,,,,,,,,
TAG6048-AKAP-PG-SF_0453,WT1,2022,,,6048,Q1B,,,L2,,,,,,Spacer,,,Rectangular,,Mother of pearl,White,,Partially broken,,,,,,,0.269,,1.9949999999999999,,0.77800000000000002,3.38mm,,,,,,,,,,,
TAG6587-AKAP-PG-SF_0454,WT1,2022,,,6587,Q3B,,,L1,From W to E: between TB8 and TB20 and the Eastern limit of the cemetery (PSF048),,,,,Spacer,,,Rectangular,,Mother of pearl,White,,"Preserved, partially damaged",,,,,,,0.176,,1.492,,0.63400000000000001,2.41mm,2.37mm,,,,,,,,,,
TAG6587-AKAP-PG-SF_0455,WT1,2022,,,6587,Q3B,,,L1,From W to E: between TB8 and TB20 and the Eastern limit of the cemetery (PSF048),,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\4-6,Preserved,,,,,,,0.101,,1.9379999999999999,,1.0680000000000001,3.40mm,2.94mm,,,,,,,,,,
TAG6425-AKAP-PG-SF_0456,WT1,2022,,,6425,Q4B,,,L1,Area around OP delta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR7\6,Preserved,,,,,,,0.142,,2.4710000000000001,,0.95399999999999996,3.18mm,2.93mm,,,,,Traces of use,,,,,
TAG6425-AKAP-PG-SF_0457,WT1,2022,,,6425,Q4B,,,L1,Area around OP delta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR7\4,Preserved,,,,,,,0.092,,2.282,,1.0569999999999999,3.85mm,3.83mm,,,,,Traces of use,,,,,
TAG6425-AKAP-PG-SF_0458,WT1,2022,,,6425,Q4B,,,L1,Area around OP delta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR7\6,Preserved,,,,,,,0.219,,2.008,,1.143,3.98mm,3.45mm,,,,,,,,,,
TAG6425-AKAP-PG-SF_0459,WT1,2022,,,6425,Q4B,,,L1,Area around OP delta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR7\6,Preserved,,,,,,,0.127,,1.98,,1.042,3.22mm,3.02mm,,,,,,,,,,
TAG6425-AKAP-PG-SF_0460,WT1,2022,,,6425,Q4B,,,L1,Area around OP delta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR7\4-6,Preserved,,,,,,,0.145,,1.845,,0.999,3.37mm,3.09mm,,,,,,,,,,
TAG6425-AKAP-PG-SF_0461,WT1,2022,,,6425,Q4B,,,L1,Area around OP delta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,,Spacer,,,Rectangular,,Mother of pearl,White,,Fragmented,,,,,,,0.099,,1.903,,1.0369999999999999,,,,,,,,,,,,
TAG6398-AKAP-PG-SF_0462,WT1,2022,,,6398,Q4A,,,L1,Area around OP delta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR8\6,Preserved,,,,,,,0.223,,2.319,,1.1880000000000002,3.40mm,2.82mm,,,,,,,,,,
TAG6599-AKAP-PG-SF_0463,WT1,2022,,,6599,Q3B,,,L143,,,,TB12,,Spacer,,,Rectangular,,Mother of pearl,White,10YR8\4,Preserved,,,,,,,0.128,,1.496,,"0,744 and 0,681",3.08mm,2.54mm,,,,,,,,,,
TAG6326-AKAP-PG-SF_0464,WT1,2022,,,6326,Q3B,,,L1,From TB8 to East,,,,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR8\2,1 fragment,,,,,,,0.074,,1.161,,0.55700000000000005,3.54mm,,,,,,,,,,,
TAG6224-AKAP-PG-SF_0465,WT1,2022,,,6224,Q3A,,,L45,Cleaning,,,TB6,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR5\3-4,"Preserved, partially damaged",,,,,,,0.245,,2.448,,1.1779999999999999,5.16mm,4.80mm,,,,,Damaged surface?,,,,,
TAG6467-AKAP-PG-SF_0466,WT1,2022,,,6467,Q4B,,,L114,,,,TB11,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR7\3,Preserved,,,,,,,0.127,,1.9769999999999999,,0.998,2.48mm,2.35mm,,,,,Drilling marks+diagonal marks on the surface,,,,,
TAG6360-AKAP-PG-SF_0467,WT1,2022,,,6360,Q3B,,,L62,,,,TB8,,Spacer,,,Rectangular,,Mother of pearl,White,,Preserved,,,,,,,0.138,,2.4059999999999997,,1.0960000000000001,3.12mm,3.03mm,,,,,,,,,,
TAG6369-AKAP-PG-SF_0468,WT1,2022,,,6369,Q3B,,,L85,,,,TB8,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR5\4,Preserved,,,,,,,0.189,,2.1360000000000001,,1.2,3.28mm,3.14mm,,,,,Incisions?,,,,,
TAG6259-AKAP-PG-SF_0469,WT1,2022,,,6259,Q3A,,,L61,,,,TB6,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\6,Preserved,,,,,,,0.177,,2.4539999999999997,,1.03,3.22mm,3.19mm,,,,,,,,,,
TAG6309-AKAP-PG-SF_0470,WT1,2022,,,6309,Q3B,,,L64,,,,TB8,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\3,Preserved,,,,,,,0.176,,1.6579999999999999,,0.90800000000000003,2.34mm,2.34mm,,,,,,,,,,
TAG6319-AKAP-PG-SF_0471,WT1,2022,,,6319,Q3B,,,L64,,,,TB8,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR5\3,Preserved,,,,,,,0.174,,2.2640000000000002,,0.80999999999999994,3.03mm,2.51mm,,,,,,,,,,
TAG6319-AKAP-PG-SF_0472,WT1,2022,,,6319,Q3B,,,L64,,,,TB8,,Spacer,,,Rectangular,,Mother of pearl,White,7.5YR6\3,"Preserved, maybe encrusted?",,,,,,,0.234,,2.282,,0.8859999999999999,4.17mm,4.04mm,,,,,Asymmetrical holes; rough surface,,,,,
TAG6002-AKAP-PG-SF_1100,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.472,,0.424,,,,,,,,,,,,,
TAG6002-AKAP-PG-SF_1101,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.472,,0.424,,,,,,,,,,,,,
TAG6002-AKAP-PG-SF_1102,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.463,,0.326,,,,,,,,,,,,"Dyno, EDR",
TAG6002-AKAP-PG-SF_1103,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.463,,0.326,,,,,,,,,,,,Dyno EDR,
TAG6002-AKAP-PG-SF_1104,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.463,,0.326,,,,,,,,,,,,,
TAG6002-AKAP-PG-SF_1105,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.463,,0.326,,,,,,,,,,,,,
TAG6002-AKAP-PG-SF_1106,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.415,,0.272,,,,,,,,,,,,,
TAG6002-AKAP-PG-SF_1107,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.415,,0.272,,,,,,,,,,,,,
TAG6002-AKAP-PG-SF_1108,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.415,,0.272,,,,,,,,,,,,,
TAG6002-AKAP-PG-SF_1109,WT1,2022,,,6002,Q1A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Black,,,,,,,,,,0.415,,0.272,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1100,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.484,,0.354,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1101,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.484,,0.354,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1102,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.484,,0.354,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1103,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.484,,0.354,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1104,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.484,,0.354,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1105,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.484,,0.354,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1106,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.448,,0.384,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1107,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,,,,,Faience,Light blue,,,,,,,,,,0.448,,0.384,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1108,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Faience,Black,,,,,,,,,,0.437,,0.253,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1109,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.437,,0.253,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1110,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.437,,0.253,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1111,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.437,,0.253,,,,,,,,,,,,,
TAG6007-AKAP-PG-SF_1112,WT1,2022,,,6007,Q2A,,,L1,See PSF004,,,,,Bead,Short,Short tubular,,,Faience,Black,,,,,,,,,,0.437,,0.253,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1113,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.5,,0.377,,,,,,,,,,,,,
TAG6015-AKAP-PG-SF_1114,WT1,2022,,,6015,Q1B,,,L1,See PSF004,,,,,Bead,Short,Disc,Flat,,Ostrich Eggshell,Whitish,,,,,,,,,,0.5,,0.377,,,,,,,,,,,,,
